,Country,Age,Income,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,None,Other (please specify)
67,United Kingdom,20-24,Rather not say,False,False,False,False,False,True,False,False,True,False,False,False,False,False,
68,United Kingdom,30-34,Rather not say,True,False,False,False,False,False,False,False,True,False,False,False,False,False,vb6
69,Italy,30-34,"$20,000 - $40,000",False,False,False,False,False,False,False,True,True,False,False,False,False,False,
70,United Kingdom,20-24,"$40,000 - $60,000",False,True,True,True,False,False,False,False,True,False,False,False,True,False,
71,India,25-29,Student / Unemployed,True,False,False,False,False,False,False,True,False,True,True,False,False,False,
72,United States of America,30-34,"$80,000 - $100,000",True,True,True,False,False,False,False,True,True,False,False,False,True,False,
73,Other Europe,25-29,Rather not say,True,False,False,False,False,True,False,True,False,False,False,False,False,False,
74,Other Europe,20-24,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,False,False,False,False,
75,United Kingdom,25-29,Rather not say,False,True,True,False,False,False,False,True,True,False,False,False,False,False,
76,Other Europe,25-29,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,True,False,False,
77,India,20-24,Rather not say,False,False,False,False,False,False,False,False,False,False,True,False,False,False,
78,Netherlands,30-34,Rather not say,False,False,False,False,True,True,False,True,True,True,True,False,False,False,
79,India,25-29,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Groovy
80,France,25-29,"$20,000 - $40,000",True,True,True,True,False,False,False,True,True,False,False,False,True,False,VB.NET
81,United States of America,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
82,India,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
83,United Kingdom,20-24,"$60,000 - $80,000",False,True,True,True,False,False,False,False,True,False,False,False,True,False,
84,India,20-24,,False,True,False,False,False,False,True,True,False,False,False,False,True,False,
85,India,20-24,"<$20,000",True,True,True,True,False,False,False,True,False,True,True,False,False,False,
86,France,30-34,"$40,000 - $60,000",False,False,False,False,False,False,False,True,False,True,True,False,False,False,
87,United Kingdom,25-29,"$60,000 - $80,000",False,False,False,False,True,False,False,True,False,False,True,True,False,False,
88,India,20-24,Rather not say,True,True,True,False,False,False,False,False,False,False,False,False,True,False,
89,Germany,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
90,India,25-29,"$20,000 - $40,000",True,True,True,False,False,True,False,False,False,False,False,False,True,False,
91,Middle East,20-24,"$60,000 - $80,000",False,True,True,False,False,False,False,True,True,False,False,False,True,False,
92,India,20-24,"<$20,000",True,True,True,True,False,False,False,False,False,True,True,False,False,False,VB.NET
93,Other Europe,30-34,Rather not say,False,True,False,False,True,False,False,True,True,False,False,False,False,False,
94,India,25-29,"<$20,000",True,False,False,False,False,False,False,False,False,False,False,False,False,False,
95,India,25-29,"<$20,000",True,False,False,False,False,False,False,True,False,True,True,False,False,False,
96,Other Europe,< 20,Rather not say,False,True,True,True,False,False,False,False,True,False,False,False,False,False,Delphi
97,Other Europe,20-24,"<$20,000",False,True,True,False,False,False,False,True,True,False,False,False,True,False,
98,Other Europe,25-29,Rather not say,True,True,True,False,False,False,False,True,True,False,False,False,True,False,
99,Russia,25-29,"<$20,000",True,False,False,False,False,False,False,False,False,False,True,False,False,False,
100,Other Europe,< 20,"<$20,000",False,False,True,True,False,False,False,False,True,False,False,False,True,False,
101,Africa,25-29,"$20,000 - $40,000",True,True,True,True,False,False,False,True,True,True,False,False,False,False,
102,Other Europe,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
103,India,30-34,"$20,000 - $40,000",False,True,True,False,False,False,False,True,True,False,False,False,False,False,
104,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
105,Netherlands,30-34,"$20,000 - $40,000",False,True,True,True,False,True,False,True,False,False,False,False,True,False,
106,India,20-24,"<$20,000",False,False,False,False,False,False,False,False,False,True,False,False,False,False,
107,Other Asia,20-24,Student / Unemployed,True,True,True,False,False,False,False,True,False,False,False,False,True,False,
108,India,25-29,Rather not say,True,True,False,False,False,False,False,True,True,False,False,False,False,False,
109,India,25-29,"$40,000 - $60,000",True,False,False,False,False,True,False,False,False,True,True,False,True,False,
110,India,25-29,"<$20,000",False,False,True,False,False,False,False,True,True,False,False,False,True,False,
111,Australasia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
112,India,20-24,"$20,000 - $40,000",True,False,False,False,False,False,False,False,False,False,False,False,False,False,
113,Canada,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
114,India,20-24,Rather not say,True,True,True,False,False,False,False,True,False,False,True,False,False,False,
115,India,20-24,"<$20,000",False,False,False,False,False,False,True,True,True,True,False,False,False,False,
116,Other Asia,30-34,"<$20,000",True,True,True,True,False,False,False,True,True,True,True,False,True,False,
117,India,20-24,,False,True,True,False,False,False,False,True,True,False,False,False,False,False,
118,India,20-24,"<$20,000",True,True,False,False,False,False,False,False,False,False,False,False,False,False,
119,India,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
120,Australia,40-50,">$140,000",False,True,True,False,True,True,False,True,True,True,True,True,False,False,Asp.net
121,India,20-24,"<$20,000",False,True,False,False,True,False,False,True,False,False,False,False,True,False,jquery
122,Other Asia,25-29,,False,False,False,False,True,False,False,False,True,True,False,False,False,False,R
123,Other Asia,25-29,Rather not say,False,True,False,True,False,False,False,False,False,False,False,False,True,False,
124,India,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
125,United States of America,30-34,Rather not say,True,False,False,False,True,True,False,False,True,True,True,False,False,False,"Clojure, Matlab"
126,United Kingdom,< 20,Student / Unemployed,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
127,Australia,25-29,"$60,000 - $80,000",True,True,True,True,False,True,False,True,False,False,False,False,False,False,
128,Other Asia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
129,Australia,< 20,Student / Unemployed,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
130,United Kingdom,20-24,"$40,000 - $60,000",True,True,True,True,True,False,False,True,True,False,True,False,True,False,
131,Russia,20-24,"$20,000 - $40,000",True,False,True,True,False,False,False,True,False,False,False,False,True,False,
132,Canada,30-34,"$40,000 - $60,000",True,False,False,True,True,False,False,True,False,False,True,False,False,False,
133,United States of America,25-29,"<$20,000",False,True,True,True,False,False,True,True,False,False,False,False,True,False,
134,Australia,25-29,"$100,000 - $120,000",True,False,False,True,True,False,False,False,False,True,False,False,False,False,
135,Australia,20-24,">$140,000",False,False,False,False,True,True,False,False,False,False,True,False,False,False,
136,South America,25-29,"<$20,000",False,True,True,True,False,False,False,True,True,False,False,False,True,False,
137,Canada,25-29,"$40,000 - $60,000",False,False,False,False,False,False,False,True,True,False,False,False,False,False,
138,Other Europe,20-24,Student / Unemployed,False,True,True,True,False,False,True,True,False,False,False,False,True,False,
139,United States of America,30-34,"$100,000 - $120,000",False,False,True,True,False,False,False,True,True,False,False,False,True,False,
140,Other Asia,25-29,"$60,000 - $80,000",False,False,False,False,False,True,False,False,False,False,False,False,False,False,
141,United States of America,20-24,Rather not say,True,True,True,True,True,True,False,True,True,False,True,False,False,False,BASIC
142,United States of America,30-34,">$140,000",False,False,False,False,True,False,False,True,True,True,True,False,False,False,XSL
143,Other Europe,20-24,"$20,000 - $40,000",False,True,True,True,True,False,False,True,False,False,False,False,True,False,
144,United States of America,< 20,"$20,000 - $40,000",True,True,True,True,False,True,False,True,False,True,False,False,True,False,
145,United States of America,30-34,">$140,000",True,True,False,False,False,False,False,True,True,False,False,False,True,False,
146,United States of America,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
147,Other Europe,20-24,Rather not say,False,False,False,True,False,False,False,True,False,False,False,False,False,False,Bash
148,Other Europe,30-34,"$60,000 - $80,000",False,True,True,False,False,False,False,True,True,False,False,False,True,False,
149,United States of America,< 20,Student / Unemployed,False,True,True,True,False,False,False,True,False,False,False,False,True,False,
150,United States of America,< 20,Student / Unemployed,False,True,True,True,False,True,False,True,False,False,True,False,True,False,
151,Other Europe,20-24,"$40,000 - $60,000",False,False,False,False,False,True,False,False,False,False,False,False,False,False,
152,United States of America,< 20,Student / Unemployed,True,False,False,False,False,True,False,False,False,False,False,False,False,False,
153,United States of America,< 20,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Learning PHP, C, C++, Java, and a few others.  So I can't say I'm proficient in any."
154,United Kingdom,35-39,Rather not say,False,True,True,False,False,False,False,True,False,False,False,False,False,False,Classic-ASP
155,United States of America,20-24,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
156,Other Europe,< 20,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Haskell
157,United States of America,40-50,"$120,000 - $140,000",False,True,True,False,False,False,False,True,True,True,False,False,False,False,
158,South America,25-29,"$20,000 - $40,000",True,True,False,True,True,False,False,True,False,True,True,False,False,False,
159,Russia,30-34,"$20,000 - $40,000",True,False,False,False,False,False,False,False,False,False,False,False,False,False,
160,United Kingdom,20-24,"$20,000 - $40,000",True,True,False,False,False,True,False,False,True,True,True,False,True,False,
161,United States of America,30-34,Rather not say,True,False,False,False,False,False,False,True,True,True,True,True,False,False,
162,Canada,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
163,United States of America,25-29,"$80,000 - $100,000",True,True,True,False,True,False,True,True,True,True,False,False,False,False,
164,United States of America,25-29,"$100,000 - $120,000",True,True,True,False,False,True,True,False,True,False,False,False,True,False,
165,Italy,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
166,Other Europe,20-24,Rather not say,True,False,False,False,False,True,False,False,False,True,True,False,False,False,
167,Other Europe,35-39,Rather not say,True,True,True,True,False,True,True,True,False,False,True,True,True,False,
168,Other Europe,20-24,Student / Unemployed,True,True,True,True,False,False,False,True,True,False,False,False,False,False,
169,United States of America,25-29,"$60,000 - $80,000",False,False,True,True,False,False,False,False,False,False,False,False,True,False,
170,Canada,30-34,Rather not say,True,False,False,False,False,False,False,False,True,True,True,False,False,False,
171,Other Europe,30-34,"$40,000 - $60,000",False,True,False,False,False,False,False,True,True,False,False,False,False,False,
172,France,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
173,United States of America,25-29,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,Matlab
174,United States of America,25-29,"$40,000 - $60,000",True,True,True,True,True,False,False,True,True,False,False,False,True,False,
175,United States of America,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
176,United States of America,< 20,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,
177,United Kingdom,35-39,"$100,000 - $120,000",True,True,True,False,True,False,False,True,False,False,True,False,True,False,
178,South America,20-24,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
179,South America,20-24,"$20,000 - $40,000",True,True,True,False,True,True,True,True,True,False,True,False,False,False,Lua
180,Middle East,20-24,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
181,Other Europe,20-24,Rather not say,True,True,True,True,False,False,False,True,True,False,True,False,False,False,
182,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
183,Other Europe,< 20,Student / Unemployed,True,False,False,False,True,False,False,False,False,False,True,False,False,False,
184,Canada,30-34,"$80,000 - $100,000",False,True,False,False,False,False,False,True,True,False,False,False,False,False,
185,United States of America,35-39,Rather not say,False,False,False,False,False,False,False,True,True,True,False,False,False,False,
186,India,20-24,"<$20,000",True,True,False,False,False,False,False,True,False,False,False,False,False,False,
187,United States of America,25-29,"$40,000 - $60,000",False,True,True,True,False,False,False,True,True,False,False,False,True,False,
188,Other Europe,25-29,"<$20,000",True,False,False,False,True,True,False,False,False,False,False,False,False,False,
189,Other Europe,35-39,"$40,000 - $60,000",False,True,True,False,False,False,False,True,True,False,False,False,True,False,
190,United Kingdom,20-24,Rather not say,False,True,True,True,False,False,False,True,True,False,False,False,True,False,
191,Other Europe,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
192,United Kingdom,20-24,Student / Unemployed,True,True,True,True,True,True,False,True,True,True,True,False,True,False,
193,South America,20-24,"<$20,000",False,True,True,True,True,False,False,True,False,False,False,False,False,False,
194,Other Asia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
195,Mexico,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
196,Other Europe,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
197,Other Europe,20-24,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,
198,Other Europe,25-29,Rather not say,False,True,True,False,True,False,False,False,False,False,False,False,True,False,
199,Germany,< 20,Student / Unemployed,True,False,False,False,False,True,False,False,False,True,True,False,False,False,
200,United States of America,25-29,"$40,000 - $60,000",False,True,True,True,False,False,False,True,True,False,False,False,True,False,
201,South America,25-29,"$80,000 - $100,000",False,False,False,True,False,False,False,True,False,True,True,False,False,False,Delphi
202,South America,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
203,India,20-24,Rather not say,True,True,True,True,False,False,False,False,False,False,False,False,False,False,
204,India,< 20,Student / Unemployed,True,False,False,False,False,False,False,False,True,False,False,False,True,False,
205,Other Europe,20-24,Rather not say,True,True,True,True,True,False,False,True,False,True,False,True,True,False,
206,India,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
207,United Kingdom,25-29,,False,True,True,False,False,False,False,True,False,False,False,False,True,False,
208,France,25-29,"$40,000 - $60,000",True,True,True,False,False,False,False,True,False,False,False,False,True,False,
209,United Kingdom,20-24,Rather not say,False,True,True,True,False,False,True,True,False,False,False,False,True,False,
210,Other Europe,20-24,Rather not say,False,True,True,True,False,True,False,True,True,False,False,False,True,False,Mel
211,United States of America,35-39,">$140,000",False,False,False,True,True,False,True,True,True,False,False,False,False,False,
212,South America,25-29,Rather not say,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
213,India,30-34,Rather not say,False,True,True,False,False,False,False,True,True,False,False,False,True,False,
214,Other Europe,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
215,United States of America,35-39,"$120,000 - $140,000",False,False,False,False,False,False,False,False,False,True,True,True,False,False,
216,Other Asia,< 20,Rather not say,False,False,False,True,False,False,False,False,False,False,False,False,True,False,
217,Middle East,20-24,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,True,False,False,False,
218,Germany,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
219,Other Asia,< 20,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
220,Germany,20-24,Rather not say,False,True,True,True,False,False,False,True,False,False,False,False,True,False,
221,Germany,30-34,"$100,000 - $120,000",False,True,True,False,False,False,False,False,True,False,False,False,True,False,
222,Germany,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
223,South America,30-34,Rather not say,False,False,False,False,True,False,False,False,False,True,True,False,False,False,
224,Netherlands,20-24,Rather not say,False,True,True,True,False,True,False,True,True,False,True,False,False,False,
225,Middle East,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
226,Other Europe,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
227,United Kingdom,25-29,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,
228,France,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
229,India,25-29,"<$20,000",False,True,True,False,False,False,True,True,False,False,False,False,True,False,
230,Other Europe,25-29,,True,True,True,False,False,False,False,True,False,False,False,False,False,False,
231,Other Europe,30-34,"$100,000 - $120,000",True,True,True,True,True,False,True,True,True,True,True,False,False,False,Lots
232,Australia,20-24,Student / Unemployed,True,False,False,False,False,False,False,False,True,True,False,False,False,False,
233,Netherlands,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
234,South America,25-29,"$40,000 - $60,000",False,False,False,False,False,False,False,False,True,False,False,False,False,False,
235,Germany,20-24,"$40,000 - $60,000",False,False,False,False,False,False,False,False,True,False,False,False,False,False,
236,Other Asia,20-24,Rather not say,False,True,True,True,False,False,False,False,False,False,False,False,False,False,
237,Germany,25-29,"$40,000 - $60,000",True,False,False,False,False,True,False,False,False,False,False,False,False,False,Smalltalk
238,Other Asia,30-34,"<$20,000",False,False,False,False,False,False,False,False,True,False,False,False,True,False,
239,Other Europe,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
240,South America,25-29,"$20,000 - $40,000",True,True,False,False,False,False,False,True,False,False,True,False,False,False,
241,Other Europe,35-39,Rather not say,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
242,Other Europe,20-24,"<$20,000",False,True,True,True,False,False,False,True,False,False,False,False,True,False,
243,Other Europe,25-29,"$80,000 - $100,000",False,True,True,False,False,False,False,True,True,False,False,False,False,False,
244,Italy,< 20,Student / Unemployed,False,False,False,False,False,False,True,False,True,False,False,False,False,False,
245,Other Europe,20-24,"$20,000 - $40,000",False,True,True,True,False,False,False,True,False,False,False,False,True,False,XSLT
246,Italy,20-24,Rather not say,False,False,False,True,False,True,False,False,False,False,True,False,False,False,
247,Germany,20-24,Student / Unemployed,False,True,True,True,True,False,False,False,False,False,False,False,False,False,
248,India,25-29,Rather not say,False,True,True,False,True,False,False,True,False,False,False,False,False,False,
249,Other Europe,30-34,"<$20,000",True,True,True,True,True,False,False,True,False,False,False,True,True,False,
250,United States of America,< 20,Student / Unemployed,False,True,True,True,False,False,False,True,False,False,False,False,True,False,JQuery
251,India,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
252,United Kingdom,20-24,Rather not say,False,True,True,True,False,False,False,True,False,False,False,False,True,False,
253,India,25-29,"<$20,000",True,True,False,True,False,False,False,True,True,False,True,False,False,False,
254,Germany,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
255,United States of America,20-24,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,
256,United Kingdom,25-29,"$40,000 - $60,000",False,True,True,True,True,False,False,False,False,False,False,False,True,False,
257,Other Europe,25-29,"$60,000 - $80,000",True,True,True,True,True,False,False,True,False,True,True,False,True,False,
258,India,25-29,"<$20,000",False,False,False,False,False,False,False,True,False,False,False,False,False,False,
259,India,25-29,Rather not say,True,True,False,False,False,False,False,True,False,False,False,False,True,False,
260,Other Europe,20-24,Rather not say,True,True,True,True,False,False,False,True,True,False,False,False,True,False,
261,India,20-24,"<$20,000",True,False,False,False,False,False,False,False,False,False,True,False,False,False,Android SDK
262,Other Europe,25-29,"$20,000 - $40,000",False,False,False,False,False,True,False,False,False,False,False,False,False,False,
263,India,25-29,"<$20,000",False,True,True,True,False,False,False,False,False,False,False,False,False,False,
264,Other Europe,25-29,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,True,False,False,
265,India,20-24,Rather not say,True,True,True,False,False,True,False,True,True,True,True,False,True,False,
266,Other Asia,25-29,"$80,000 - $100,000",False,True,True,False,True,False,False,True,True,False,False,False,False,False,
267,Other Asia,25-29,Rather not say,False,False,False,False,False,False,True,False,False,False,False,False,True,False,
268,Italy,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
269,Other Europe,35-39,"$20,000 - $40,000",True,False,False,False,False,False,False,True,False,True,True,False,False,False,
270,India,20-24,"$60,000 - $80,000",False,True,True,False,True,False,False,True,False,False,False,False,True,False,
271,United States of America,20-24,"$60,000 - $80,000",False,False,False,False,True,False,False,False,False,True,True,False,False,False,
272,United States of America,35-39,">$140,000",False,True,True,False,False,True,True,False,False,False,False,False,True,False,
273,Other Europe,20-24,"<$20,000",False,True,True,True,False,True,False,False,False,False,True,False,False,False,
274,India,25-29,Rather not say,False,False,False,True,False,True,False,False,False,True,True,False,False,False,
275,United States of America,25-29,"$80,000 - $100,000",True,True,False,False,False,False,False,False,True,True,False,False,True,False,
276,India,20-24,,True,False,False,False,True,False,False,False,False,True,False,False,False,False,
277,Australia,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
278,Netherlands,30-34,"$60,000 - $80,000",False,False,False,False,False,False,False,True,True,False,False,False,False,False,
279,Canada,30-34,"$80,000 - $100,000",False,False,False,True,False,True,False,True,True,False,False,False,False,False,
280,Other Asia,40-50,"$40,000 - $60,000",True,False,False,True,True,False,False,False,False,True,True,True,False,False,"/bin/sh, lua, emacs lisp"
281,Other Europe,30-34,,False,True,True,True,False,False,False,True,False,False,False,False,True,False,
282,South America,25-29,,True,True,True,True,True,False,False,False,False,False,False,False,True,False,
283,Africa,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
284,India,20-24,"$20,000 - $40,000",True,False,False,False,False,False,False,True,False,False,False,False,False,False,
285,South America,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
286,Other Asia,40-50,">$140,000",True,False,False,False,True,False,False,False,True,False,False,False,False,False,
287,Canada,25-29,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,True,False,False,False,False,
288,Germany,20-24,Rather not say,True,False,False,False,False,True,False,False,False,True,True,False,False,False,
289,United States of America,25-29,Student / Unemployed,False,False,False,True,False,False,False,True,False,False,False,False,True,False,Lisp
290,United States of America,40-50,Rather not say,False,False,True,False,False,False,False,True,True,False,False,False,False,False,
291,Germany,20-24,"$20,000 - $40,000",True,False,False,False,False,False,False,False,False,True,True,False,False,False,
