,Country,Age,Income,C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
108,Turkey,Turkey,"$20,000 - $40,000",False,False,False,False,False,False,False,True,False,False,True,
109,Ukraine,Ukraine,Student / Unemployed,False,False,True,True,False,False,False,False,False,False,False,
110,United States,United States,Student / Unemployed,False,False,False,False,True,False,False,False,True,False,False,
111,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,True,Crystal
112,Portugal,Portugal,,False,False,False,False,False,False,False,False,False,False,False,
113,Egypt,Egypt,"<$20,000",True,True,True,True,True,False,False,False,True,False,True,"Embedded C, HTML, CSS"
114,Brazil,Brazil,"<$20,000",False,False,False,True,False,False,True,False,False,False,False,
115,Germany,Germany,"$60,000 - $80,000",False,False,True,False,True,True,False,False,True,False,False,
116,Belgium,Belgium,Rather not say,False,False,False,False,True,False,False,False,False,True,True,
117,Italy,Italy,Student / Unemployed,False,True,False,True,True,False,False,True,False,False,True,
118,Cambodia,Cambodia,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
119,Brazil,Brazil,"$20,000 - $40,000",True,False,True,False,True,False,False,False,True,False,True,as3
120,Mexico,Mexico,"$20,000 - $40,000",False,False,False,True,True,False,False,False,False,False,True,
121,Germany,Germany,,False,False,False,False,False,False,False,False,False,False,False,
122,Puerto Rico,Puerto Rico,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,
123,Canada,Canada,"$40,000 - $60,000",False,False,True,True,False,False,False,False,False,False,True,
124,Germany,Germany,Rather not say,False,False,False,True,False,False,False,False,False,False,False,R
125,Switzerland,Switzerland,Student / Unemployed,True,False,False,True,True,False,False,False,False,False,False,AngulaJS
126,United Kingdom,United Kingdom,Student / Unemployed,False,False,False,False,False,False,False,False,True,True,True,
127,Croatia,Croatia,Rather not say,True,True,True,True,False,False,False,False,False,False,False,
128,Netherlands,Netherlands,"$100,000 - $120,000",False,False,False,False,True,False,False,False,False,True,True,
129,France,France,"$40,000 - $60,000",False,False,False,True,True,True,False,False,False,False,True,
130,United Kingdom,United Kingdom,">$140,000",False,False,True,False,True,False,False,False,False,False,True,
131,Romania,Romania,"$20,000 - $40,000",False,False,False,False,True,False,False,True,False,False,True,
132,India,India,"<$20,000",True,False,False,True,True,False,False,False,False,False,True,
133,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,False,False,False,False,False,False,False,False,VB.Net
134,Netherlands,Netherlands,Student / Unemployed,False,False,False,False,True,False,False,True,False,False,False,
135,India,India,"<$20,000",True,True,False,False,False,False,False,False,False,False,False,
136,Jordan,Jordan,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
137,United Kingdom,United Kingdom,"$80,000 - $100,000",False,False,True,False,True,True,False,False,False,False,False,
138,Netherlands,Netherlands,,False,False,False,False,False,False,False,False,False,False,False,
139,India,India,,False,False,False,False,False,False,False,False,False,False,False,
140,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,True,True,False,False,False,False,False,perl
141,India,India,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
142,Czech Republic,Czech Republic,Rather not say,True,True,True,True,True,False,False,True,True,False,True,
143,United States,United States,Rather not say,False,False,False,True,True,True,False,True,False,True,True,
144,United Kingdom,United Kingdom,"<$20,000",False,False,False,False,True,False,False,True,False,False,False,
145,United States,United States,"$100,000 - $120,000",False,True,True,False,False,False,False,True,True,False,True,
146,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
147,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,True,True,False,False,True,
148,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
149,Chile,Chile,,False,False,False,False,False,False,False,False,False,False,False,
150,United Kingdom,United Kingdom,Rather not say,False,False,True,False,True,False,False,False,False,False,True,"VBScript, JScript"
151,Netherlands,Netherlands,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
152,India,India,,False,False,False,False,False,False,False,False,False,False,False,
153,India,India,"<$20,000",False,False,True,False,True,False,False,True,False,False,False,
154,Germany,Germany,"$80,000 - $100,000",False,False,False,True,False,False,True,False,False,False,False,
155,Philippines,Philippines,,False,False,False,False,False,False,False,False,False,False,False,
156,India,India,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
157,United Kingdom,United Kingdom,Rather not say,False,False,False,False,True,False,False,True,False,False,False,
158,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,True,False,False,True,
159,Austria,Austria,Student / Unemployed,True,True,True,False,False,False,False,False,False,False,True,
160,United States,United States,Student / Unemployed,False,False,False,False,True,False,False,False,True,True,True,
161,France,France,Rather not say,True,True,False,False,False,False,False,False,False,False,False,
162,United States,United States,Student / Unemployed,False,True,False,True,False,False,False,False,False,False,True,
163,United States,United States,Student / Unemployed,True,False,False,False,True,False,False,False,False,False,False,bash
164,New Zealand,New Zealand,"$80,000 - $100,000",False,False,False,False,True,False,False,False,False,False,True,Abap
165,United States,United States,"$100,000 - $120,000",False,False,False,False,True,False,False,False,False,True,True,
166,United States,United States,">$140,000",False,False,False,False,False,False,True,False,False,False,False,
167,United Kingdom,United Kingdom,Rather not say,False,False,False,True,True,False,False,False,False,False,False,
168,Bolivia,Bolivia,,False,False,False,False,False,False,False,False,False,False,False,
169,United Kingdom,United Kingdom,Student / Unemployed,False,False,False,False,True,True,False,True,False,False,True,"Go, MongoDB, Redis, CouchDB, AngularJS, Phonegap"
170,United States,United States,"$20,000 - $40,000",False,False,False,False,True,False,False,True,False,True,True,
171,United States,United States,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
172,Algeria,Algeria,,True,False,False,False,False,False,False,False,False,False,False,
173,Thailand,Thailand,,False,False,False,False,False,False,False,False,False,False,False,
174,India,India,,False,False,False,False,False,False,False,False,False,False,False,
175,Ukraine,Ukraine,"$40,000 - $60,000",False,False,False,True,True,False,False,False,False,False,False,
176,China,China,Rather not say,True,True,False,True,True,False,False,True,False,False,False,
177,United States,United States,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,Not in TEch
178,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,
179,Philippines,Philippines,,False,False,False,False,False,False,False,False,False,False,False,
180,United States,United States,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
181,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,True,False,False,
182,Romania,Romania,"$20,000 - $40,000",False,False,True,True,False,False,False,False,False,False,False,
183,Poland,Poland,Student / Unemployed,False,True,False,False,False,False,False,True,False,False,True,
184,India,India,"$20,000 - $40,000",False,False,False,True,True,False,False,False,False,False,False,
185,Tunisia,Tunisia,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,
186,Israel,Israel,Student / Unemployed,False,False,True,True,True,False,False,False,False,False,True,
187,United Kingdom,United Kingdom,">$140,000",False,False,False,True,True,False,False,False,True,False,False,
188,India,India,Rather not say,False,False,False,False,False,False,True,False,False,False,True,
189,Russia,Russia,,False,False,False,False,False,False,False,False,False,False,False,
190,Argentina,Argentina,"<$20,000",False,False,True,False,False,False,False,False,False,False,False,
191,Spain,Spain,Student / Unemployed,False,False,False,False,True,False,False,True,False,False,False,"CSS, HTML, AMPL"
192,Spain,Spain,,False,False,False,False,False,False,False,False,False,False,False,
193,United States,United States,"$120,000 - $140,000",False,False,False,False,False,False,False,False,True,False,False,
194,Germany,Germany,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
195,United States,United States,"$100,000 - $120,000",False,False,False,False,False,False,False,False,True,False,False,
196,Germany,Germany,"$80,000 - $100,000",False,False,False,True,False,False,False,True,False,False,True,"PL1,Cobol,JCL,REXX"
197,United States,United States,"$80,000 - $100,000",False,False,False,False,True,True,False,True,False,False,True,
198,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
199,United States,United States,"$80,000 - $100,000",False,False,False,False,True,False,False,True,False,False,True,Perl
200,Germany,Germany,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,False,Perl
201,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,False,True,True,False,False,True,False,False,True,
202,United States,United States,"$100,000 - $120,000",False,False,False,False,False,False,False,False,False,False,False,
203,Netherlands,Netherlands,"$20,000 - $40,000",False,False,False,False,False,False,False,True,True,False,False,
204,Netherlands,Netherlands,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
205,Bulgaria,Bulgaria,,True,True,True,True,False,False,False,False,False,False,False,installshield
206,Norway,Norway,"$100,000 - $120,000",False,False,False,True,True,False,False,False,False,False,False,
207,Romania,Romania,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
208,Japan,Japan,,False,False,False,False,True,False,False,True,False,False,False,
209,United States,United States,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
210,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
211,United States,United States,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,False,
212,United Kingdom,United Kingdom,,False,False,False,False,False,False,False,True,False,False,False,
213,Spain,Spain,,False,False,False,False,False,False,False,False,False,False,False,
214,United States,United States,">$140,000",False,False,False,False,False,False,False,False,False,False,False,
215,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,False,False,False,True,False,
216,United States,United States,"$100,000 - $120,000",False,False,False,False,True,True,False,False,False,False,False,
217,United States,United States,Student / Unemployed,False,True,True,False,False,True,False,False,False,False,False,Haskell
218,Austria,Austria,"$40,000 - $60,000",True,True,True,True,True,False,False,False,False,False,True,
219,Malaysia,Malaysia,,False,False,False,False,False,False,False,False,False,False,False,
220,Pakistan,Pakistan,"<$20,000",False,False,True,True,True,False,False,False,False,False,False,
221,United States,United States,"<$20,000",False,False,False,False,True,False,False,False,False,True,False,
222,Germany,Germany,"$40,000 - $60,000",False,False,False,True,True,False,False,False,True,False,False,Perl
223,United States,United States,"$60,000 - $80,000",True,True,True,False,False,False,False,False,False,False,False,
224,Poland,Poland,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,False,
225,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
226,Philippines,Philippines,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
227,Norway,Norway,">$140,000",False,False,False,True,True,False,False,False,False,False,True,
228,Bulgaria,Bulgaria,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
229,United States,United States,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,
230,United States,United States,"$40,000 - $60,000",False,True,False,True,True,False,False,True,True,False,True,
231,United States,United States,"$20,000 - $40,000",True,False,False,False,True,False,False,True,False,False,True,
232,Australia,Australia,Student / Unemployed,False,False,False,False,False,False,False,False,True,False,False,Lua
233,Italy,Italy,Rather not say,True,False,False,False,False,False,False,False,False,False,True,
234,Netherlands,Netherlands,"$40,000 - $60,000",False,False,True,False,True,False,False,False,True,False,True,
235,Brazil,Brazil,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
236,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,False,False,False,False,True,False,False,
237,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
238,Finland,Finland,Student / Unemployed,True,False,False,True,True,False,False,False,False,False,True,
239,Greece,Greece,,False,False,False,False,False,False,False,False,False,False,False,
240,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,True,False,False,True,
241,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
242,Turkey,Turkey,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,False,
243,United States,United States,"$80,000 - $100,000",False,False,False,False,True,False,False,False,False,True,False,
244,United States,United States,"$40,000 - $60,000",False,False,True,True,False,False,False,False,False,False,False,Force.com
245,United States,United States,"$40,000 - $60,000",False,False,False,False,True,False,False,True,False,False,False,
246,United States,United States,"$80,000 - $100,000",False,False,False,True,False,False,False,False,True,True,True,"Scala, Clojure"
247,United States,United States,,False,False,False,False,True,False,False,True,False,False,True,
248,United States,United States,Student / Unemployed,False,False,False,False,False,False,True,False,True,False,False,
249,United States,United States,"<$20,000",False,False,False,False,True,False,False,True,False,False,True,"PowerShell, zsh"
250,Sweden,Sweden,Student / Unemployed,False,False,False,False,False,False,False,True,False,False,True,
251,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,False,False,True,False,False,True,False,Haskell
252,Australia,Australia,"$40,000 - $60,000",False,False,False,False,True,False,False,True,False,False,True,
253,Australia,Australia,">$140,000",True,True,True,True,True,True,True,True,True,True,True,
254,United States,United States,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,True,VB.Net
255,United States,United States,"$20,000 - $40,000",False,True,True,True,False,False,False,False,False,False,False,
256,United Kingdom,United Kingdom,"$40,000 - $60,000",False,True,True,False,False,False,False,True,False,False,True,
257,Canada,Canada,"$60,000 - $80,000",False,False,False,True,False,True,False,False,True,False,False,
258,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,
259,Denmark,Denmark,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,
260,Australia,Australia,Rather not say,False,False,False,True,False,True,True,True,False,False,False,
261,United States,United States,"$100,000 - $120,000",False,True,False,False,False,False,False,False,True,False,False,MATLAB
262,United States,United States,"$120,000 - $140,000",True,False,True,False,True,True,True,False,False,False,False,
263,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
264,Switzerland,Switzerland,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,"Clojure, Go"
265,Brazil,Brazil,Student / Unemployed,False,True,False,True,False,False,False,False,True,False,False,
266,South Africa,South Africa,"<$20,000",False,False,False,True,True,False,False,False,False,False,True,
267,United States,United States,"$80,000 - $100,000",True,False,False,False,False,False,False,False,False,False,False,bash
268,United States,United States,Student / Unemployed,True,True,False,False,False,False,False,False,True,False,False,
269,United States,United States,"$120,000 - $140,000",False,False,False,False,False,False,True,False,False,False,False,
270,United States,United States,Rather not say,False,False,True,False,True,False,False,False,False,False,False,F#
271,India,India,Student / Unemployed,True,True,False,True,True,False,False,True,False,False,True,
272,Canada,Canada,,False,False,False,False,False,False,False,False,False,False,False,
273,United States,United States,"$120,000 - $140,000",False,False,False,False,False,False,False,False,False,False,False,
274,United States,United States,"$20,000 - $40,000",False,False,False,False,True,False,False,False,True,False,False,
275,United States,United States,"$120,000 - $140,000",False,False,True,False,True,False,False,False,False,False,True,
276,Sweden,Sweden,Student / Unemployed,False,True,False,False,True,False,False,True,True,False,True,
277,Mexico,Mexico,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
278,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,True,False,False,True,
279,Turkey,Turkey,"$60,000 - $80,000",True,False,True,False,True,False,False,False,True,False,False,
280,Lithuania,Lithuania,Student / Unemployed,True,False,False,False,True,False,True,False,True,False,True,
281,United Kingdom,United Kingdom,"$60,000 - $80,000",False,True,False,True,False,False,False,False,False,False,False,
282,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
283,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,False,False,False,True,VB
284,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,
285,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,False,
286,United States,United States,,False,False,False,True,True,False,False,False,True,False,True,
287,United States,United States,"$40,000 - $60,000",False,False,True,False,False,False,False,False,False,False,False,
288,United States,United States,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,True,
289,United States,United States,,False,False,True,False,True,False,False,False,False,False,True,
290,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
291,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,True,False,True,False,False,True,False,
292,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
293,United States,United States,"$100,000 - $120,000",False,False,True,True,True,False,False,False,False,False,True,
294,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,True,True,False,False,
295,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,
296,Norway,Norway,Student / Unemployed,False,False,True,True,True,False,False,False,False,False,False,"HTML, My own language"
297,United Kingdom,United Kingdom,Student / Unemployed,True,True,True,False,True,False,False,True,False,True,False,
298,India,India,Rather not say,False,False,True,False,True,False,False,False,False,False,True,VB.Net
299,United States,United States,"$100,000 - $120,000",False,False,True,True,True,False,False,False,False,False,True,
300,United States,United States,Student / Unemployed,False,False,False,False,False,False,True,False,True,False,False,
301,Austria,Austria,"$80,000 - $100,000",True,True,False,False,False,False,True,False,False,False,False,
302,United States,United States,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,False,False,
303,South Africa,South Africa,Rather not say,False,False,True,False,True,False,False,False,False,False,True,Powershell
304,United States,United States,"$60,000 - $80,000",False,False,True,True,True,False,False,False,False,False,False,
305,United States,United States,"$100,000 - $120,000",False,False,True,True,True,False,False,False,False,False,True,
306,Romania,Romania,Student / Unemployed,True,False,True,True,False,False,False,True,False,False,True,Assembly
307,Denmark,Denmark,"$100,000 - $120,000",False,False,False,False,True,False,False,False,True,False,False,
308,United States,United States,"$20,000 - $40,000",False,False,True,False,True,False,False,True,True,False,False,
309,United States,United States,"$40,000 - $60,000",False,False,True,False,False,False,False,False,False,False,True,F#
310,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
311,United States,United States,"$80,000 - $100,000",False,False,True,True,True,False,False,False,False,False,True,
312,United States,United States,Student / Unemployed,False,True,True,False,False,False,False,False,False,False,False,
313,United States,United States,Rather not say,False,False,True,True,False,False,True,False,False,False,False,
314,United States,United States,Rather not say,False,False,True,True,False,False,False,False,False,False,True,
315,United States,United States,"$80,000 - $100,000",False,False,True,True,True,False,True,False,False,False,True,
316,Romania,Romania,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
317,United States,United States,Student / Unemployed,False,False,True,True,True,False,False,False,False,False,True,
318,United States,United States,,False,True,False,False,True,False,False,True,True,False,True,
319,United States,United States,"$80,000 - $100,000",False,False,False,False,True,False,False,False,False,True,True,
320,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,
321,United States,United States,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
322,Switzerland,Switzerland,Rather not say,True,False,False,False,False,False,True,False,False,False,False,
323,United Kingdom,United Kingdom,"$100,000 - $120,000",False,False,False,False,True,False,False,False,False,False,True,Salesforce.com
324,United States,United States,"$120,000 - $140,000",False,False,False,False,False,False,False,False,False,False,False,
325,United States,United States,"$120,000 - $140,000",True,False,True,False,True,False,False,False,False,False,True,
326,Iran,Iran,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
