index,language,percentage,survey_year
64,F#,0.0466998754669987,2017
65,Hack,0.0428082191780821,2017
66,TypeScript,0.0175124533001245,2017
67,Visual Basic 6,0.0155666251556662,2017
68,Rust,0.0077833125778331,2017
0,JavaScript,56.48274948093829,2016
1,SQL,45.23567610549101,2016
2,Java,36.20621107037152,2016
3,C#,31.388876617926403,2016
4,PHP,26.200468259928435,2016
5,Python,24.892874497504085,2016
6,SQLServer,19.29363431550117,2016
7,C++,19.08380085700402,2016
8,AngularJS,18.39466360383443,2016
9,Node.js,17.659142112470732,2016
10,Android,17.413968282016167,2016
11,C,15.216238900914432,2016
12,LAMP,10.052127048637187,2016
13,MongoDB,9.93506206652825,2016
14,"Cloud(AWS,GAE,Azure,etc.)",9.76719529973053,2016
15,iOS,9.398330167425012,2016
16,WordPress,9.349737155983568,2016
17,Ruby,9.18849670892786,2016
18,Arduino/RaspberryPi,7.710827406458454,2016
19,VisualBasic,6.798604055307682,2016
20,Objective-C,6.73013208464019,2016
21,Redis,6.032159738481248,2016
22,Swift,5.769315722047975,2016
23,ReactJS,5.336396165569643,2016
24,CoffeeScript,3.505323143526086,2016
25,Cordova,3.419180986879887,2016
26,Scala,3.3308300569863496,2016
27,R,3.319786190749657,2016
28,Perl,3.3043247780182887,2016
29,Go,3.198303662146044,2016
30,Matlab,3.1872597959093523,2016
31,WindowsPhone,2.3147943632106727,2016
32,Hadoop,2.0806643989927998,2016
33,SharePoint,1.7979414233334805,2016
34,Haskell,1.6212395635464063,2016
35,Spark,1.4622078897380395,2016
36,Salesforce,1.3782745063391793,2016
37,Cassandra,1.3760657330918409,2016
38,Clojure,1.155188408357998,2016
39,F#,1.0138269205283386,2016
40,Rust,0.8967619384194018,2016
41,Dart,0.4505897424570393,2016
0,JavaScript,49.49627109773649,2014
1,SQL,45.36176893889834,2014
2,Java,32.43490775873348,2014
3,C#,31.113437132016227,2014
4,PHP,22.37341358105456,2014
5,Python,19.272536961925944,2014
6,C++,18.552924244406647,2014
7,C,15.360460552139212,2014
8,Objective-C,8.831610624100485,2014
9,Node.js,8.386759125997646,2014
10,Ruby,7.758733481617167,2014
0,JavaScript,48.60398275508109,2013
1,SQL,47.14637651406282,2013
2,jQuery,42.17819749538083,2013
3,C#,31.07164853212893,2013
4,Java,30.999794703346332,2013
5,PHP,23.85547115582016,2013
6,Python,19.29788544446725,2013
7,C++,17.40915623075344,2013
8,C,14.740299733114352,2013
9,Objective-C,9.802915212482038,2013
10,Ruby,8.150277150482447,2013
11,Node.js,6.148634777253131,2013
12,JQuery,2.453295011291316,2013
0,SQL,52.76309466602594,2012
1,JavaScript,50.08809867051097,2012
2,CSS,45.234662822361045,2012
3,C#,39.532276149287206,2012
4,Java,37.61012333813872,2012
5,HTML5,34.50264296011533,2012
6,PHP,30.834534678840303,2012
7,C++,24.443376581771584,2012
8,C,23.770623097869613,2012
9,Python,19.381707512413904,2012
10,Objective-C,9.690853756206952,2012
11,Ruby,9.24235143360564,2012
12,Perl,7.384270382828769,2012
13,None,0.0800897004645202,2012
0,SQL,57.34091717028084,2011
1,JavaScript,50.4443654461429,2011
2,CSS,48.20476359758265,2011
3,C#,48.062566654816926,2011
4,Java,30.6078919303235,2011
5,PHP,28.01279772484892,2011
6,C,26.34198364735158,2011
7,C++,26.306434411660156,2011
8,Python,20.440810522573766,2011
9,Ruby,10.131532172058302,2011
10,Perl,10.095982936366868,2011
