,Country,Age,Income,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
21,United Kingdom,< 20,"$40,000 - $60,000",True,True,False,True,True,False,False,False,False,True,False,False,True,Actionscript
22,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
23,Other Europe,20-24,,False,True,False,False,False,False,False,False,True,False,False,False,False,matlab
24,Other Europe,30-34,Student / Unemployed,True,False,False,True,True,True,False,False,False,False,False,False,True,
25,Other Europe,30-34,Rather not say,False,False,False,False,True,False,False,False,False,True,False,False,True,
26,Italy,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
27,Other Europe,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
28,Canada,25-29,"$60,000 - $80,000",True,True,False,False,False,False,False,False,False,False,True,False,False,
29,United States of America,25-29,"$60,000 - $80,000",False,True,False,True,True,True,False,False,False,True,False,False,False,
30,India,< 20,Student / Unemployed,True,True,False,True,True,True,False,False,False,False,True,True,False,
31,United States of America,35-39,">$140,000",False,False,True,False,True,True,False,True,False,False,False,False,True,
32,Russia,20-24,"<$20,000",False,True,True,False,False,True,False,False,False,False,False,False,False,
33,United States of America,40-50,Student / Unemployed,False,False,True,False,True,False,False,False,False,False,False,False,True,
34,Australia,25-29,">$140,000",False,False,False,False,True,False,False,False,False,False,False,False,True,
35,United States of America,51-60,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,False,False,True,Delphi
36,Australia,30-34,Rather not say,False,False,False,True,False,False,False,False,True,False,False,False,False,
37,South America,40-50,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,False,False,True,
38,United Kingdom,25-29,"$100,000 - $120,000",True,True,True,True,True,False,False,False,True,True,False,False,True,
39,Other Europe,20-24,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,False,False,
40,France,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
41,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
42,Russia,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
43,United States of America,40-50,">$140,000",False,False,True,False,True,True,False,False,False,False,False,False,True,PowerShell
44,Canada,25-29,"$40,000 - $60,000",False,False,True,False,True,True,False,False,False,False,False,False,True,
45,Other Europe,25-29,Rather not say,False,False,False,True,True,True,False,False,False,True,False,False,True,angularjs
46,United States of America,20-24,"$40,000 - $60,000",False,False,False,False,True,True,False,False,False,True,True,False,True,
47,United States of America,20-24,"$100,000 - $120,000",False,False,False,False,True,True,False,True,False,True,True,True,False,
48,United States of America,51-60,"$80,000 - $100,000",True,False,False,False,False,False,False,False,False,False,False,False,False,fortran
49,Other Europe,35-39,,True,True,False,True,False,False,False,False,False,False,True,False,True,
50,Middle East,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
51,Canada,< 20,Rather not say,False,False,False,False,True,True,False,False,True,False,True,False,False,
52,Other Europe,20-24,Rather not say,False,True,False,False,True,True,False,False,True,False,True,False,False,
53,Other Europe,< 20,Student / Unemployed,False,False,False,False,True,False,False,False,False,True,True,False,False,
54,United States of America,30-34,"$100,000 - $120,000",False,False,False,True,False,False,False,False,False,False,False,False,False,
55,Germany,35-39,"$60,000 - $80,000",False,False,False,True,False,False,False,False,False,True,False,False,True,Haxe
56,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
57,Other Europe,25-29,"$40,000 - $60,000",False,False,False,True,True,True,False,False,True,False,False,False,True,
58,Middle East,35-39,Rather not say,True,True,False,True,False,False,False,False,False,False,False,False,False,
59,Other Europe,20-24,,False,False,False,True,True,True,False,True,False,True,False,False,True,
60,Middle East,< 20,,True,False,True,True,True,True,False,False,True,False,True,False,False,
61,Other Europe,< 20,Student / Unemployed,True,False,False,True,False,False,False,False,False,False,False,False,True,
62,United States of America,30-34,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,False,True,False,
63,Africa,40-50,"$80,000 - $100,000",False,False,False,True,True,True,False,False,False,False,True,False,True,PL/SQL
64,United States of America,25-29,"$20,000 - $40,000",True,True,False,False,False,False,False,False,False,False,True,False,False,R
65,Russia,20-24,"$20,000 - $40,000",True,True,False,False,False,False,False,False,False,False,True,False,True,
66,United Kingdom,35-39,"$80,000 - $100,000",False,False,True,False,True,True,False,False,False,True,False,False,True,
67,United States of America,20-24,"$40,000 - $60,000",True,False,True,False,True,True,False,True,False,True,True,False,True,
68,Russia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
69,Netherlands,20-24,Student / Unemployed,False,False,True,False,True,True,False,False,False,False,False,False,True,
70,United States of America,40-50,">$140,000",False,True,True,True,True,True,False,True,True,False,True,False,True,
71,Middle East,20-24,Rather not say,False,False,True,False,False,False,False,False,False,False,False,False,False,
72,India,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
73,Other Asia,20-24,Rather not say,False,False,False,False,True,True,False,True,False,False,False,False,False,
74,United Kingdom,51-60,,False,False,False,False,False,False,False,False,False,False,False,False,False,
75,India,25-29,"<$20,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
76,Canada,25-29,,False,False,True,True,True,True,False,False,False,False,False,False,False,
77,Other Europe,< 20,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,False,False,
78,Netherlands,< 20,,False,False,False,False,True,False,False,False,False,False,False,False,False,
79,Netherlands,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,
80,Italy,< 20,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,False,False,False,
81,United Kingdom,35-39,Student / Unemployed,True,True,False,False,True,True,False,False,False,True,False,False,True,
82,India,20-24,Rather not say,True,False,False,False,True,True,False,False,False,True,False,False,True,
83,South America,35-39,"$20,000 - $40,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
84,Other Europe,20-24,Student / Unemployed,False,False,False,True,False,True,False,False,False,False,False,False,False,
85,United States of America,35-39,,False,False,False,False,False,False,False,False,False,False,True,False,True,R
86,Other Europe,30-34,,False,False,False,True,False,False,False,False,False,False,False,False,True,
87,South America,40-50,,False,False,False,False,False,True,False,False,False,True,False,False,False,
88,Netherlands,20-24,Student / Unemployed,True,False,False,True,True,True,False,False,False,True,True,True,True,
89,United States of America,30-34,"$120,000 - $140,000",False,False,False,True,False,True,False,False,False,False,False,False,False,Scala
90,Other Europe,25-29,"$60,000 - $80,000",True,False,False,False,False,False,False,True,True,False,False,True,False,
91,Russia,25-29,"<$20,000",False,False,True,False,True,True,False,False,False,True,False,False,True,
92,United States of America,25-29,"$60,000 - $80,000",False,False,False,True,True,True,False,False,False,False,False,True,True,
93,Other Europe,20-24,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,False,False,False,
94,India,20-24,,True,True,True,True,True,True,False,False,False,True,False,False,True,
95,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
96,South America,30-34,"$20,000 - $40,000",False,False,False,False,True,True,False,False,True,True,False,False,False,Action Script
97,India,20-24,"<$20,000",False,False,False,True,True,False,False,False,False,False,False,False,True,
98,United States of America,40-50,Rather not say,True,True,False,True,False,False,False,False,True,False,True,False,True,mathematica
99,India,20-24,"<$20,000",False,False,False,True,True,True,False,False,False,False,False,False,False,mongo DB
100,Other Asia,30-34,"<$20,000",False,False,True,False,True,True,False,False,True,False,False,False,True,
101,United States of America,20-24,"$100,000 - $120,000",False,False,True,False,True,True,False,True,False,False,False,False,True,
102,India,20-24,Rather not say,False,False,False,True,False,False,False,False,True,False,False,False,False,
103,United Kingdom,< 20,Rather not say,False,True,False,False,True,True,False,False,False,True,False,False,True,
104,Middle East,30-34,,False,False,True,True,False,False,False,False,False,False,False,False,False,
105,Other Asia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
106,United States of America,51-60,"$100,000 - $120,000",False,False,True,False,False,False,False,False,False,False,False,False,True,VB
107,Australasia,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
108,Other Europe,< 20,Student / Unemployed,False,False,False,False,True,True,False,True,False,True,True,True,False,
109,Other Europe,20-24,Rather not say,False,False,False,True,False,False,False,False,False,True,True,True,False,
110,United States of America,30-34,"$60,000 - $80,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
111,Other Europe,20-24,"<$20,000",False,False,True,True,False,False,False,False,False,False,False,False,True,
112,United States of America,35-39,">$140,000",False,False,True,False,True,True,False,False,False,False,False,False,False,
113,United States of America,30-34,,True,False,False,True,False,True,False,False,True,False,False,False,True,
114,Africa,25-29,,True,True,False,False,False,False,False,False,False,True,False,False,True,
115,Italy,40-50,Rather not say,False,False,False,True,False,False,False,False,False,False,False,False,False,
116,Other Europe,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,
117,Australasia,30-34,"$60,000 - $80,000",False,True,False,True,False,False,False,False,False,False,True,False,True,bash
118,Other Europe,30-34,"$40,000 - $60,000",False,False,False,False,True,True,False,False,False,True,False,False,True,Perl
119,Other Asia,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
120,India,20-24,"<$20,000",True,True,True,True,False,False,False,False,False,True,False,False,True,
121,United States of America,35-39,"$80,000 - $100,000",True,True,False,True,False,False,False,False,False,False,False,False,False,Scala
122,Germany,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
123,Other Europe,25-29,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,False,False,"maven, Oracle DB, Cassandra, mysql"
124,United States of America,30-34,"$20,000 - $40,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
125,United States of America,35-39,"$40,000 - $60,000",False,False,True,False,True,True,False,False,False,True,False,False,True,VB/VBA
126,United States of America,51-60,,False,True,False,True,True,False,False,False,False,False,True,False,False,extjs
127,United Kingdom,25-29,"$20,000 - $40,000",True,False,False,True,True,True,False,False,False,True,False,False,True,
128,United States of America,20-24,Student / Unemployed,True,True,False,False,True,True,False,False,False,True,True,True,True,
129,India,25-29,Rather not say,False,False,False,True,True,True,False,False,False,False,True,True,True,
130,Other Asia,< 20,Student / Unemployed,False,True,False,True,True,True,False,False,False,True,False,False,True,
131,Other Europe,25-29,Rather not say,False,False,False,True,True,True,False,False,False,False,False,False,False,Clojure
132,Other Europe,25-29,"<$20,000",False,False,True,False,True,True,False,True,False,False,False,False,True,CSS
133,Germany,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
134,Other Asia,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
135,Russia,20-24,Rather not say,True,False,False,False,False,False,False,False,False,False,True,True,False,"Perl, Haskell"
136,India,25-29,Rather not say,False,False,True,False,True,True,False,False,False,False,False,False,True,
137,Other Europe,< 20,Student / Unemployed,False,False,True,False,False,False,False,False,False,False,False,False,False,Assembly
138,Germany,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
139,United States of America,< 20,Student / Unemployed,True,True,True,True,False,False,False,False,False,False,False,False,False,Perl (It's got some nice regex)
140,United Kingdom,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
141,Other Europe,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
142,Middle East,35-39,"<$20,000",False,False,True,False,False,True,False,False,False,False,False,False,True,
143,Other Asia,25-29,"$60,000 - $80,000",False,False,False,False,True,True,False,False,False,False,True,False,False,
144,Middle East,30-34,"$40,000 - $60,000",False,False,False,False,True,True,False,False,False,False,True,True,False,
145,Other Europe,30-34,"$40,000 - $60,000",False,False,True,True,False,False,False,False,False,False,False,False,True,
146,Other Europe,25-29,"$20,000 - $40,000",False,True,False,True,True,False,False,False,False,False,True,True,False,
147,United States of America,35-39,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,True,False,False,
148,Germany,40-50,,False,False,True,False,True,False,False,False,False,False,False,False,True,vb.net
149,Other Europe,30-34,"$100,000 - $120,000",False,False,False,True,True,True,False,False,False,True,False,False,False,
150,Other Europe,35-39,"$100,000 - $120,000",False,False,False,False,True,True,False,False,False,False,True,False,True,Plone
151,Other Europe,20-24,,True,False,False,True,True,False,False,False,False,False,True,False,True,
152,Other Europe,25-29,"$40,000 - $60,000",False,False,False,True,True,False,False,False,False,False,False,False,True,
153,Other Asia,20-24,,False,False,False,True,True,True,False,False,False,True,False,False,True,
154,Other Europe,35-39,"$20,000 - $40,000",False,False,False,True,False,False,False,False,False,False,False,False,False,
155,United Kingdom,30-34,Rather not say,False,False,True,False,True,False,False,False,False,False,False,False,True,
156,Russia,30-34,"<$20,000",False,False,False,True,True,True,False,False,False,True,False,True,False,
157,Middle East,25-29,"<$20,000",False,False,False,False,False,True,False,False,False,False,False,False,True,
158,United States of America,40-50,"$120,000 - $140,000",False,True,False,False,False,False,False,False,True,False,False,False,False,
159,Middle East,25-29,"<$20,000",False,True,True,False,True,True,False,False,True,True,False,False,True,
160,Germany,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
161,Africa,25-29,"<$20,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
162,Bangladesh,20-24,"<$20,000",True,True,True,True,True,True,False,False,True,False,False,False,True,
163,India,25-29,"<$20,000",False,False,False,True,True,True,False,False,False,False,False,False,True,
164,United Kingdom,30-34,"$40,000 - $60,000",False,False,False,False,True,True,False,True,False,True,False,False,False,
165,Other Europe,30-34,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,False,False,"MATLAB, Common Lisp, awk, vim"
166,Germany,30-34,"$60,000 - $80,000",False,False,False,False,True,True,False,False,False,True,False,False,True,AutoIT
167,Other Europe,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
168,United States of America,51-60,">$140,000",False,True,False,False,True,True,False,False,False,True,False,False,True,codeigniter
169,Other Europe,20-24,Student / Unemployed,True,False,True,True,False,False,False,False,False,False,False,False,False,
170,Australasia,< 20,"$40,000 - $60,000",False,False,False,False,False,True,False,False,False,False,False,True,False,Coffeescript
171,Australia,< 20,,False,False,False,False,False,False,False,False,False,False,True,False,False,
172,United Kingdom,40-50,"$80,000 - $100,000",False,False,False,False,True,True,False,False,False,True,True,False,True,
173,Middle East,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
174,Other Asia,30-34,"$40,000 - $60,000",False,False,False,False,True,True,False,False,True,True,False,False,True,
175,South America,30-34,Rather not say,False,False,False,False,True,False,False,False,False,False,True,False,False,google app engine
176,United Kingdom,30-34,"$60,000 - $80,000",False,False,False,False,False,False,False,False,True,False,False,False,False,Pro-IV
177,Germany,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
178,Middle East,40-50,Rather not say,False,False,True,True,True,True,False,False,False,False,True,False,True,
179,United States of America,30-34,"$100,000 - $120,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
180,Other Asia,20-24,,False,True,False,True,True,False,False,False,False,False,True,False,False,
181,India,20-24,,False,True,False,True,False,False,False,False,False,False,True,False,False,perl
182,France,20-24,"$80,000 - $100,000",True,False,False,True,True,True,False,False,True,True,True,False,True,
183,India,20-24,,True,False,False,True,False,False,False,False,False,False,True,False,True,
184,United Kingdom,20-24,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,False,True,Coldfusion
185,United States of America,40-50,"$60,000 - $80,000",False,False,True,False,False,False,False,False,False,False,False,False,False,
186,United States of America,20-24,"$80,000 - $100,000",False,True,True,False,False,False,False,False,False,False,True,False,False,
187,India,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
188,United States of America,35-39,"$100,000 - $120,000",True,True,False,False,False,False,False,False,True,False,False,False,False,
189,United States of America,25-29,Student / Unemployed,False,False,True,False,True,True,False,False,False,False,False,False,True,
190,United States of America,25-29,"$60,000 - $80,000",False,True,False,True,True,False,False,False,False,True,True,False,True,
191,India,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
192,United States of America,25-29,,False,False,False,False,True,True,False,False,False,True,False,False,True,
193,Canada,30-34,">$140,000",False,False,True,True,True,True,False,True,False,False,False,False,True,
194,Canada,30-34,"$40,000 - $60,000",False,False,True,True,True,True,False,False,False,True,False,False,False,
195,Canada,< 20,Student / Unemployed,False,False,False,True,True,True,False,False,False,True,True,False,True,
196,Other Asia,30-34,"$20,000 - $40,000",False,False,False,True,True,True,False,False,False,False,False,False,True,Play Framework 2
197,Other Europe,30-34,"$40,000 - $60,000",False,True,True,False,False,False,False,False,True,False,False,False,False,
198,Canada,20-24,"$100,000 - $120,000",False,False,False,False,True,True,False,False,False,False,True,False,False,
199,Germany,20-24,,False,False,False,False,True,True,False,False,False,True,False,False,False,
200,India,25-29,,False,False,True,False,False,True,False,False,False,False,False,False,True,
201,United States of America,30-34,"$100,000 - $120,000",False,False,True,True,True,True,False,False,True,False,False,True,True,
202,Germany,25-29,"$60,000 - $80,000",True,True,False,False,False,False,False,False,True,False,True,False,False,Perl
203,United States of America,25-29,,False,False,False,False,True,True,False,False,False,True,False,True,False,
204,United States of America,20-24,"$60,000 - $80,000",False,True,False,False,False,False,False,False,False,False,False,False,False,
205,Australasia,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
206,United States of America,30-34,"$120,000 - $140,000",False,False,True,False,True,True,False,False,False,False,False,False,True,
207,Other Europe,30-34,"$100,000 - $120,000",False,False,True,False,True,True,False,False,False,False,False,False,True,
208,Canada,20-24,"$60,000 - $80,000",True,True,False,False,True,True,False,True,False,False,True,False,True,
209,Other Asia,< 20,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,False,True,False,
210,United States of America,40-50,"$120,000 - $140,000",False,False,True,False,True,True,False,False,False,False,False,False,True,
211,United States of America,30-34,Rather not say,False,True,True,False,False,False,False,False,False,False,True,False,False,
212,United States of America,< 20,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,True,False,False,
213,Canada,30-34,"$80,000 - $100,000",False,True,False,False,True,True,False,False,False,False,True,False,True,
214,Germany,30-34,"$80,000 - $100,000",False,False,False,True,False,False,False,False,False,False,True,False,False,
215,United States of America,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
216,United States of America,25-29,"<$20,000",False,False,False,True,True,True,False,False,False,True,False,False,True,
217,United States of America,25-29,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,True,False,True,
218,United States of America,40-50,"$80,000 - $100,000",False,False,False,False,True,True,False,False,True,False,True,False,True,Django
219,Canada,20-24,Student / Unemployed,False,True,False,True,False,False,False,False,False,False,True,False,True,
220,United States of America,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,
221,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
222,Other Europe,25-29,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,False,True,True,
223,United Kingdom,20-24,"$20,000 - $40,000",False,False,False,False,False,False,False,False,False,True,False,False,True,
224,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
225,France,25-29,"$40,000 - $60,000",True,True,False,False,True,True,False,False,False,True,False,True,True,
226,Other Europe,20-24,"$20,000 - $40,000",False,False,False,True,True,True,False,False,False,False,False,False,True,
227,United States of America,< 20,Student / Unemployed,True,True,True,False,True,False,False,False,True,True,False,False,False,C++/CLI
228,United States of America,30-34,"$120,000 - $140,000",False,False,False,False,True,True,False,False,False,False,True,False,False,
229,United Kingdom,30-34,Rather not say,False,False,True,False,True,True,False,False,False,False,False,False,True,
230,United Kingdom,>60,Rather not say,False,False,False,False,True,False,False,False,False,False,True,False,False,
231,Italy,51-60,,False,False,False,False,False,False,False,False,False,False,False,False,False,
232,United States of America,30-34,"$60,000 - $80,000",False,False,False,False,False,False,False,False,True,False,False,False,False,
233,United States of America,35-39,">$140,000",True,False,False,True,False,False,False,False,True,False,False,False,False,
234,United States of America,35-39,,False,False,False,False,False,False,False,False,False,False,True,False,False,
235,United States of America,20-24,"$40,000 - $60,000",False,False,True,True,True,False,False,True,False,False,False,False,False,
236,United States of America,< 20,Student / Unemployed,False,True,False,True,False,False,False,False,False,True,False,False,True,LabView
237,United States of America,30-34,"$100,000 - $120,000",False,False,True,False,True,True,False,False,False,False,True,False,True,
238,France,51-60,"$80,000 - $100,000",True,False,False,False,False,False,False,False,False,False,False,False,False,perl
239,Russia,20-24,"<$20,000",True,True,False,False,False,False,False,False,False,False,False,False,False,Matlab
240,United States of America,30-34,"$100,000 - $120,000",True,True,False,False,False,False,False,False,False,False,False,False,False,R
241,Netherlands,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
242,Middle East,25-29,"<$20,000",False,False,True,False,True,True,False,False,False,True,False,False,True,
243,Germany,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
244,United Kingdom,20-24,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,True,False,False,
245,United States of America,20-24,"$40,000 - $60,000",False,False,False,False,True,True,False,False,False,True,False,True,True,
246,United Kingdom,< 20,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,False,False,False,
247,Other Europe,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,
248,United States of America,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,R
249,United States of America,40-50,,False,False,False,False,False,False,False,False,False,False,False,False,False,
250,Other Europe,30-34,"$40,000 - $60,000",True,True,False,True,True,True,False,False,False,True,False,False,True,Perl
251,South America,40-50,"$40,000 - $60,000",False,False,False,False,True,False,False,False,False,False,False,False,True,Google Apps Script
252,United Kingdom,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
253,Africa,20-24,,True,True,False,False,False,False,False,False,False,False,False,False,False,
254,Netherlands,30-34,Rather not say,False,False,True,False,True,True,False,False,False,False,False,False,True,
255,Middle East,25-29,"<$20,000",False,False,True,True,True,True,False,False,False,True,False,False,True,"ActionScript, Flash, Asp.Net, Asp.Net MVC"
256,United States of America,>60,Student / Unemployed,False,False,False,False,True,False,False,False,False,True,False,False,True,
257,United States of America,20-24,Student / Unemployed,True,True,False,False,True,False,False,False,False,False,True,False,False,
258,United States of America,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
259,Netherlands,20-24,,False,False,True,False,False,False,False,False,False,True,False,False,True,
260,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
261,United States of America,35-39,">$140,000",False,False,False,False,True,True,False,False,False,False,True,False,False,
262,Middle East,35-39,"$100,000 - $120,000",True,True,False,True,True,True,False,True,True,False,True,False,True,
263,United States of America,< 20,"$20,000 - $40,000",True,True,True,True,True,False,False,False,False,True,True,False,True,
264,United States of America,20-24,,False,True,False,False,True,True,False,False,True,False,False,True,True,
265,Canada,40-50,">$140,000",False,True,False,False,True,True,False,False,False,False,True,False,False,
266,Other Europe,25-29,Rather not say,False,False,True,False,False,False,False,False,False,False,True,False,False,
267,Mexico,20-24,Student / Unemployed,True,False,False,True,True,False,False,False,False,False,True,False,False,
268,Canada,25-29,"$40,000 - $60,000",False,False,False,True,False,True,False,False,False,False,False,False,False,JSF
269,Middle East,< 20,"<$20,000",False,False,True,False,False,False,False,False,False,False,False,False,True,
270,India,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
271,Other Asia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
272,India,20-24,"$40,000 - $60,000",False,True,False,False,True,True,False,False,False,True,False,True,True,
273,Other Europe,25-29,"$20,000 - $40,000",False,False,False,True,True,True,False,False,False,True,True,False,True,
274,United States of America,20-24,"$20,000 - $40,000",False,False,False,False,True,True,False,False,False,True,False,False,True,
275,United States of America,25-29,"$60,000 - $80,000",True,False,False,True,False,True,False,False,False,False,True,False,False,
276,Other Europe,30-34,,False,False,False,False,False,False,False,False,False,False,False,False,False,
277,United States of America,25-29,"<$20,000",False,False,False,False,True,True,False,False,True,False,False,True,True,
278,United Kingdom,< 20,,False,True,False,False,True,False,False,False,False,True,False,False,False,Visual Basic
279,Other Asia,< 20,Student / Unemployed,True,True,True,True,False,False,False,False,True,True,False,False,True,
280,India,25-29,Rather not say,False,False,False,True,True,True,False,False,False,True,False,False,True,
281,Middle East,40-50,Rather not say,False,True,True,False,False,False,False,False,False,False,False,False,False,
282,Other Europe,30-34,"$40,000 - $60,000",False,False,True,False,False,True,False,False,False,True,False,False,True,
283,Bangladesh,25-29,"<$20,000",False,True,False,True,True,True,False,False,False,True,True,True,True,
284,South America,30-34,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,True,False,False,True,plsql
285,India,25-29,,False,False,False,False,False,False,False,False,False,False,False,False,False,
286,Other Europe,20-24,,True,False,False,True,False,False,False,False,False,False,False,False,False,
287,United States of America,20-24,,False,False,False,False,False,False,False,False,False,False,False,False,False,
288,United States of America,25-29,Student / Unemployed,True,False,False,True,False,False,False,False,False,False,True,False,True,
289,United Kingdom,< 20,,False,False,False,True,False,False,False,False,False,False,False,False,False,
290,India,25-29,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,False,False,
291,United States of America,25-29,"$80,000 - $100,000",False,False,True,False,True,True,False,False,False,True,True,False,True,R
292,India,< 20,,False,False,False,False,False,False,False,False,False,False,False,False,False,
293,United States of America,< 20,Student / Unemployed,False,False,True,True,True,True,False,False,False,False,True,False,False,
294,Other Asia,30-34,"$20,000 - $40,000",False,False,False,True,True,True,False,False,False,False,False,False,True,
295,Other Europe,20-24,"$20,000 - $40,000",False,False,False,False,False,False,False,False,True,True,False,False,True,
296,United Kingdom,25-29,"$100,000 - $120,000",False,True,False,True,True,False,False,False,False,False,True,False,False,"Closure, Go"
297,Other Europe,25-29,"<$20,000",False,False,False,False,True,True,False,False,False,False,False,True,True,
298,Italy,25-29,"$20,000 - $40,000",True,True,True,False,False,False,False,False,False,False,False,False,False,
299,India,25-29,Rather not say,False,False,False,True,True,True,False,False,False,True,False,False,True,
300,United States of America,,,False,False,False,False,False,False,False,False,False,False,False,False,False,
301,Other Europe,35-39,,False,False,False,False,False,False,False,False,False,False,False,False,False,
